Row Labels,Sum of humidity,Sum of meantemp,Sum of wind_speed
1/1/2013,84.5,10,0
2/1/2013,92,7.4,2.98
3/1/2013,87,7.166666667,4.633333333
4/1/2013,71.33333333,8.666666667,1.233333333
5/1/2013,86.83333333,6,3.7
6/1/2013,82.8,7,1.48
7/1/2013,78.6,7,6.3
8/1/2013,63.71428571,8.857142857,7.142857143
9/1/2013,51.25,14,12.5
10/1/2013,62,11,7.4
11/1/2013,51.28571429,15.71428571,10.57142857
12/1/2013,74,14,13.22857143
13/1/2013,75.16666667,15.83333333,4.633333333
14/1/2013,88.16666667,12.83333333,0.616666667
15/1/2013,71.85714286,14.71428571,0.528571429
16/1/2013,86.66666667,13.83333333,0
17/1/2013,80.83333333,16.5,5.25
18/1/2013,92.16666667,13.83333333,8.95
19/1/2013,76.66666667,12.5,5.883333333
20/1/2013,75.28571429,11.28571429,8.471428571
21/1/2013,77,11.2,2.22
22/1/2013,79.66666667,9.5,3.083333333
23/1/2013,60.16666667,14,4.016666667
24/1/2013,60.66666667,13.83333333,6.166666667
25/1/2013,67,12.25,5.55
26/1/2013,64.16666667,12.66666667,6.8
27/1/2013,65.57142857,12.85714286,5.557142857
28/1/2013,56,14.83333333,3.7
29/1/2013,65.5,14.125,3.2375
30/1/2013,70.42857143,14.71428571,1.057142857
31/1/2013,65.6,16.2,2.96
1/2/2013,73,16,2.22
2/2/2013,77.57142857,16.28571429,1.328571429
3/2/2013,65.57142857,18,1.857142857
4/2/2013,74.28571429,17.42857143,11.11428571
5/2/2013,92.375,16.625,9.725
6/2/2013,71.33333333,16.66666667,8.633333333
7/2/2013,59.4,15.6,10.74
8/2/2013,70.42857143,14,9.257142857
9/2/2013,61.28571429,15.42857143,9.257142857
10/2/2013,71.5,15.25,3.475
11/2/2013,70.5,15.875,5.325
12/2/2013,70.33333333,15.33333333,7.416666667
13/2/2013,70.14285714,16.28571429,6.085714286
14/2/2013,63.83333333,17.33333333,4.333333333
15/2/2013,65.33333333,19.16666667,10.18333333
16/2/2013,92.71428571,14.42857143,8.485714286
17/2/2013,90,13.66666667,0
18/2/2013,78.4,15.6,12.22
19/2/2013,82,15.85714286,5.814285714
20/2/2013,74.71428571,17.71428571,5.814285714
21/2/2013,67.28571429,20,6.614285714
22/2/2013,65.625,20.5,10.875
23/2/2013,74.85714286,17.42857143,9.257142857
24/2/2013,78.85714286,16.85714286,7.4
25/2/2013,72.875,16.875,4.6375
26/2/2013,70,17.85714286,17.5875
27/2/2013,57.2,20.8,6.66
28/2/2013,52.85714286,19.42857143,12.95714286
1/3/2013,49.33333333,17.33333333,24.06666667
2/3/2013,54,19,15.725
3/3/2013,62.83333333,19.33333333,8.633333333
4/3/2013,71,17.6,5.56
5/3/2013,61.875,20.875,4.1625
6/3/2013,65.28571429,20.85714286,6.871428571
7/3/2013,57.14285714,23.42857143,8.728571429
8/3/2013,44.83333333,24.16666667,7.1
9/3/2013,49.71428571,25.42857143,5.285714286
10/3/2013,57.57142857,23.14285714,4.228571429
11/3/2013,66.33333333,24,0.933333333
12/3/2013,62.5,23.5,4.933333333
13/3/2013,70.5,21.5,5.55
14/3/2013,61.16666667,22.33333333,12.03333333
15/3/2013,45.83333333,24.16666667,7.716666667
16/3/2013,67.66666667,20.33333333,3.7
17/3/2013,58.66666667,22.66666667,8.95
18/3/2013,58.14285714,23.42857143,17.45714286
19/3/2013,73.66666667,22.5,10.48333333
20/3/2013,36.33333333,29.16666667,6.8
21/3/2013,58.5,23.83333333,10.5
22/3/2013,50.25,25.25,9.7125
23/3/2013,50.125,27.375,9.95
24/3/2013,48.75,27,10.8875
25/3/2013,45.5,23.5,15.9625
26/3/2013,44.57142857,24.14285714,12.95714286
27/3/2013,62,21,1.85
28/3/2013,62.71428571,22.42857143,7.414285714
29/3/2013,70.375,21.25,5.55
30/3/2013,54.75,23.5,11.1125
31/3/2013,58,23.2,6.66
1/4/2013,45.5,25.375,4.4
2/4/2013,51,25.16666667,8.65
3/4/2013,45.6,26.2,8.14
4/4/2013,41.8,24.6,11.12
5/4/2013,31,25.6,15.56
6/4/2013,29.85714286,25.85714286,11.9
7/4/2013,23.28571429,29.14285714,10.31428571
8/4/2013,33.85714286,28.71428571,5.3
9/4/2013,30.5,30.16666667,8.65
10/4/2013,28,30,6.1
11/4/2013,24.2,30,7.78
12/4/2013,32.57142857,28.85714286,6.342857143
13/4/2013,29.2,30.2,10
14/4/2013,39.375,28.25,6.4875
15/4/2013,41.375,28.25,6.25
16/4/2013,24.625,32.125,10.425
17/4/2013,24.2,29.2,6.66
18/4/2013,30.28571429,30.28571429,4.757142857
19/4/2013,31.28571429,28.28571429,3.971428571
20/4/2013,29,30.625,7.6375
21/4/2013,38.66666667,27.66666667,13.88333333
22/4/2013,45.375,27.375,7.65
23/4/2013,44.125,28.625,4.625
24/4/2013,41.71428571,30.28571429,2.114285714
25/4/2013,38.28571429,31.14285714,3.7
26/4/2013,45.875,29.875,6.7125
27/4/2013,31.42857143,31.14285714,13.48571429
28/4/2013,28,30.57142857,12.97142857
29/4/2013,26.375,32.125,7.875
30/4/2013,32,31.14285714,7.928571429
1/5/2013,15.85714286,31.85714286,12.68571429
2/5/2013,22.16666667,29.83333333,11.43333333
3/5/2013,31.57142857,28.57142857,9
4/5/2013,31.42857143,32.85714286,2.914285714
5/5/2013,31.125,32.625,3.0125
6/5/2013,39.25,32.75,3.7
